,job_titel,company_name,Loction,salery,other_role
498,Back Office Trainee,Ahmad Fabricator,Park Road,"₹15,500 - ₹25,500",Full time  No test required  Freshers only
499,Digital Marketing Executive,Prerna Enterprises,Delhi-NCR (Work from home),"₹15,500 - ₹25,500",Part time  No test required  Freshers only
500,Back Office Trainee,Ahmad Fabricator,NH-37,"₹15,500 - ₹25,500",Full time  No test required  Freshers only
501,Digital Marketing Executive,Garima Enterprise,Surat (Work from home),"₹15,500 - ₹25,500",Part time  No test required  Freshers only
502,Back Office Trainee,Ahmad Fabricator,North Office Para,"₹15,500 - ₹25,500",Full time  No test required  Freshers only
503,Office Assistant,Gratis Cosmetics Private Limited,BHRIHAM SAKTI HOSP.,"₹10,500 - ₹25,500",Full time  No test required  Freshers only
504,BPO Telecaller,Alphabet Technology,Borivali West,"₹22,450 - ₹25,400",Full time  No test required  Freshers only
505,Back Office Staff,Prime Services Pvt Ltd,Vile Parle,"₹19,000 - ₹25,400",Full time  No test required  Freshers only
506,Back Office Executive,Alphabet Technology,HSR Layout,"₹22,450 - ₹25,400",Full time  No test required  Freshers only
507,Digital Marketing Intern,Namrata Universal,Dilshad Garden,"₹18,900 - ₹25,200",Full time  No test required  Freshers only
508,Field Sales Executive,Paytm,Chhattarpur,"₹16,500 - ₹35,000",Full time  No test required  Freshers only
509,Delivery Boy Biker,Sun Raising Services Private Limited,Atturu,"₹20,000 - ₹30,000",Full time  No test required  Freshers only
510,Physiotherapist,Ayush Centre For Speech Therapy And Autism,Mota Singh Nagar,"₹15,000 - ₹25,000",Full time  No test required  Freshers only
511,Food Delivery Biker,Zomato,Dhulkot Mafi,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
512,Food Delivery Biker,Zomato,Ghaziabad Sector 18,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
513,Delivery Boy Biker,Ekart Logistics Hub,Village Rajpura Near Dmc,"₹20,000 - ₹25,000",Full time  No test required  Freshers only
514,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Gorakhpur (Work from home),"₹19,000 - ₹35,000",Full time  No test required  Freshers only
515,Food Delivery Biker,Zomato,"Patel Nagar, Ghaziabad","₹25,000 - ₹30,000",Part time  No test required  Freshers only
516,Food Delivery Biker,Zomato,Ghaziabad Sector 19,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
517,Food Delivery Biker,Zomato,Brigadier Hoshiar Singh,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
518,Food Delivery Biker,Zomato,Faridabad,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
519,Food Delivery Biker,Zomato,"Chander Nagar, Ghaziabad","₹25,000 - ₹30,000",Full time  No test required  Freshers only
520,Food Delivery Biker,Zomato,"Lajpat Nagar, Sahibabad, Ghaziabad","₹25,000 - ₹30,000",Part time  No test required  Freshers only
521,Food Delivery Biker,Zomato,Fatepura,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
522,Customer Service Associate,Work Wise Consulting,Airoli,"₹18,000 - ₹25,000",Full time  No test required  Freshers only
523,Food Delivery Biker,Zomato,Abhay Khand,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
524,Food Delivery Biker,Zomato,Booty Road,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
525,Food Delivery Biker,Zomato,Atul Kataria Chowk Gurgaon,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
526,Food Delivery Biker,Zomato,"Gurgaon, Sector 7","₹25,000 - ₹30,000",Part time  No test required  Freshers only
527,Biomedical Engineer,Drc Meditech System Private Limited,Ashwamegh Estet,"₹12,000 - ₹30,000",Full time  No test required  Freshers only
528,Food Delivery Biker,Zomato,Hirpur Road,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
529,Food Delivery Biker,Zomato,Shaskiya Vishramgruha Paudgaon,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
530,Food Delivery Biker,Zomato,Apex Circle,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
531,Assistant Speech Therapist,Ayush Centre For Speech Therapy And Autism,Jawahar Nagar,"₹12,000 - ₹25,000",Full time  No test required  Freshers only
532,Food Delivery Biker,Zomato,Arjan Nagar,"₹25,000 - ₹30,000",Full time  No test required  Freshers only
533,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Gorakhpur (Work from home),"₹19,000 - ₹35,000",Full time  No test required  Freshers only
534,Food Delivery Biker,Zomato,Jawaharlal Nehru Stadium,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
535,Telecaller,SURETIIMF PVT LTD,Sivananda Colony,"₹20,000 - ₹30,000",Full time  No test required  Freshers only
536,Food Delivery Biker,Zomato,Noida Sector 105,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
537,Food Delivery Biker,Zomato,Amrit Nagar,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
538,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Lucknow (Work from home),"₹19,000 - ₹40,000",Full time  No test required  Freshers only
539,Food Delivery Biker,Zomato,Hirpur Road,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
540,Food Delivery Biker,Zomato,Apex Circle,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
541,Food Delivery Biker,Zomato,Shaskiya Vishramgruha Paudgaon,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
542,Assistant Speech Therapist,Ayush Centre For Speech Therapy And Autism,Jawahar Nagar,"₹12,000 - ₹25,000",Full time  No test required  Freshers only
543,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Gorakhpur (Work from home),"₹19,000 - ₹35,000",Full time  No test required  Freshers only
544,Food Delivery Biker,Zomato,Arjan Nagar,"₹25,000 - ₹30,000",Full time  No test required  Freshers only
545,Food Delivery Biker,Zomato,Jawaharlal Nehru Stadium,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
546,Food Delivery Biker,Zomato,Amrit Nagar,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
547,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Lucknow (Work from home),"₹19,000 - ₹40,000",Full time  No test required  Freshers only
548,Food Delivery Biker,Zomato,Noida Sector 105,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
549,Food Delivery Biker,Zomato,Bawana,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
550,Food Delivery Biker,Zomato,Ballygunge Place,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
551,Food Delivery Biker,Zomato,Delatoli,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
552,Sales and Marketing Leader,Gandhar solutions,Panchkuian,"₹23,000 - ₹50,000",Full time  No test required  Freshers only
553,Telecaller,SURETIIMF PVT LTD,Sivananda Colony,"₹20,000 - ₹30,000",Full time  No test required  Freshers only
554,Food Delivery Biker,Zomato,"Harewali, Delhi","₹25,000 - ₹30,000",Full time  No test required  Freshers only
555,Food Delivery Biker,Zomato,Badli Jhajjar,"₹25,000 - ₹30,000",Full time  No test required  Freshers only
556,Food Delivery Biker,Zomato,"Noida, Sec 65","₹25,000 - ₹30,000",Part time  No test required  Freshers only
557,Food Delivery Biker,Zomato,Baharia Bazar,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
558,Food Delivery Biker,Zomato,Gunghasa,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
559,Food Delivery Biker,Zomato,Basni Nikooban,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
560,Food Delivery Biker,Zomato,BADLI EXCHANGE,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
561,Business Development & Sales Executive,Nectere Globe,Ghaziabad,"₹13,500 - ₹27,500",Night shift Full time  No test required  Freshers only
562,Business Development Executive (BDE),Entriex Business Services Private Limited,Banaswadi,"₹12,000 - ₹27,000",Full time  No test required  Freshers only
563,Account / Relationship Management - Non Voice,High Q Automation,Bakrol Bujrang,"₹12,000 - ₹30,000",Full time  No test required  Freshers only
564,Marketing Executive,Shruti Property Consultancy,Arong,"₹10,000 - ₹30,000",Full time  No test required  Freshers only
565,Food Delivery Biker,Zomato,Jagatpura,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
566,Sales Officer,2Coms Consulting Pvt Ltd.,Salwad,"₹15,000 - ₹35,000",Full time  No test required  Freshers only
567,Delivery Executive,Orion Edutech Private Limited,Park Road,"₹20,000 - ₹26,500",Full time  No test required  Freshers only
568,Food Delivery Biker,Zomato,Gurjar ki Thadi,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
569,Food Delivery Biker,Zomato,Gaddi Godam,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
570,Telesales Executive,Rsd Loans  Banking Sector Personal Loan Department,Benniganahalli,"₹15,000 - ₹30,000",Full time  No test required  Freshers only
571,Food Delivery Biker,Zomato,Abhanpur,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
572,Retail Executive,Bajaj Allianz Life Insurance Company Limited,Bhopal (Work from home),"₹19,000 - ₹35,000",Full time  No test required  Freshers only
573,Delivery Boy,Instakart Services Private Limited,Chandrasekharpur,"₹15,000 - ₹27,000",Full time  No test required  Freshers only
574,Marketing Trainee,Uniqorn,Janakpuri,"₹20,000 - ₹30,000",Full time  No test required  Freshers only
575,Food Delivery Biker,Zomato,Ajhuwa Bazar ED,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
576,Delivery Boy Biker,Sun Raising Services Private Limited,Dwarka Nagar,"₹20,000 - ₹30,000",Part time  No test required  Freshers only
577,Food Delivery Biker,Zomato,Katushole,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
578,Food Delivery Biker,Zomato,"RK Puram, Ghaziabad","₹25,000 - ₹30,000",Part time  No test required  Freshers only
579,Food Delivery Biker,Zomato,Mohan Estate,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
580,Marketing Coordinator,Advise MedTech Solution,Subhanpura,"₹15,000 - ₹25,000",Night shift Full time  No test required  Freshers only
581,Business Development Executive (BDE),Square Yards,"Andheri East, MIDC","₹17,000 - ₹55,000",Full time  No test required  Freshers only
582,Food Delivery Biker,Zomato,Noida Sector 105,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
583,Food Delivery Biker,Zomato,Mohan Estate,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
584,Food Delivery Biker,Zomato,DELHI SECTT.Vikas Marg,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
585,Food Delivery Biker,Zomato,Noida City Center,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
586,Food Delivery Biker,Zomato,BHAJANPURA,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
587,Marketing Coordinator,Advise MedTech Solution,Subhanpura,"₹15,000 - ₹25,000",Night shift Full time  No test required  Freshers only
588,Retail Executive,Bajaj Allianz Life Insurance Company Limited,Varanasi (Work from home),"₹19,000 - ₹35,000",Full time  No test required  Freshers only
589,Food Delivery Biker,Zomato,Amrit Nagar,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
590,Relationship Manager,Honeyy Group,Lawsons Bay Colony,"₹15,000 - ₹75,000",Full time  No test required  Freshers only
591,Food Delivery Biker,Zomato,Ghaziabad,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
592,Business Development Manager (BDM),Futura Kitchen Sinks India Pvt Ltd,Hyderabad Central,"₹20,000 - ₹25,000",Full time  No test required  Freshers only
593,Food Delivery Biker,Zomato,H.B. Road,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
594,Food Delivery Biker,Zomato,BUSINESS COLLEDGE  GIRLSSCHOOL,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
595,Food Delivery Biker,Zomato,Noida Sector 122,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
596,Food Delivery Biker,Zomato,Kundan Nagar,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
597,Food Delivery Biker,Zomato,Heerapura (New T.P.,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
598,Food Delivery Biker,Zomato,Naini Allahabad,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
599,Field Sales Executive,Shreeji Vallabh Nidhi Limited,Borivali West,"₹10,000 - ₹29,000",Full time  No test required  Freshers only
600,Insurance Agent/Advisor,Bajaj Allianz Life Insurance Company Limited,Taratala,"₹18,000 - ₹35,000",Full time  No test required  Freshers only
601,Delivery Boy Biker,Sun Raising Services Private Limited,Nerul Bus Station,"₹19,000 - ₹30,000",Full time  No test required  Freshers only
602,Relationship Manager,Bhansali Value Creations Private Limited,Sosyo Circle,"₹10,000 - ₹50,000",Full time  No test required  Freshers only
603,Sales & Marketing Executive,Uday Ceramic'S,Jungametta,"₹15,000 - ₹35,000",Part time  No test required  Freshers only
604,Telecaller,Delivery Point,Lucknow (Work from home),"₹20,000 - ₹25,000",Full time  No test required  Freshers only
605,Food Delivery Biker,Zomato,Indrapur,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
606,GIMP Designer,TransForm Solutions,Nanpura,"₹15,000 - ₹25,000",Full time  No test required  Freshers only
607,Delegate Acquisition Executive - Sales,UBS Forums,Goregaon,"₹15,000 - ₹25,000",Full time  No test required  Min. 0 months
608,Business Development & Sales Executive,Unified Voice Communication,Nandanam,"₹20,000 - ₹30,000",Full time  No test required  Freshers only
609,Food Delivery Biker,Zomato,Amankud,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
610,Food Delivery Biker,Zomato,Kandivali,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
611,Retail Partner,Bajaj Allianz Life Insurance Company Limited,Delhi-NCR (Work from home),"₹19,000 - ₹40,000",Full time  No test required  Freshers only
612,Food Delivery Biker,Zomato,Taili Pada,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
613,Food Delivery Biker,Zomato,Central Park,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
614,Business Development Executive (BDE),RV Technologies,Vijay Nagar,"₹20,000 - ₹35,000",Full time  No test required  Freshers only
615,Field Supervisor,JEMKON PVT LTD,All Road,"₹22,000 - ₹26,500",Full time  No test required  Freshers only
616,Food Delivery Biker,Zomato,Haji Ganj,"₹25,000 - ₹30,000",Part time  No test required  Freshers only
617,Sales & Marketing Executive,D M Systems Private Limited,Drari mohali,"₹15,000 - ₹30,000",Full time  No test required  Freshers only
